range_bin,doppler_bin,out_i,out_q
0,0,-2,0
0,1,-1,-2
0,2,-1,0
0,3,-2,-2
0,4,0,-1
0,5,-1,-1
0,6,0,0
0,7,0,-2
0,8,1,0
0,9,-1,1
0,10,1,0
0,11,-1,2
0,12,-1,-1
0,13,1,0
0,14,0,0
0,15,0,-1
0,16,0,0
0,17,1,0
0,18,-1,0
0,19,2,0
0,20,0,1
0,21,-1,-1
0,22,0,0
0,23,-2,0
0,24,1,0
0,25,1,1
0,26,1,0
0,27,1,0
0,28,1,1
0,29,1,2
0,30,0,0
0,31,2,3
1,0,-2,0
1,1,-2,-1
1,2,-1,-2
1,3,-1,-1
1,4,0,0
1,5,1,-1
1,6,-2,-1
1,7,0,0
1,8,0,-2
1,9,-1,1
1,10,1,-1
1,11,-1,0
1,12,0,0
1,13,-1,-2
1,14,0,-2
1,15,0,-1
1,16,2,0
1,17,2,1
1,18,1,2
1,19,1,1
1,20,0,0
1,21,-1,1
1,22,2,1
1,23,0,0
1,24,0,2
1,25,1,-1
1,26,-1,1
1,27,1,0
1,28,0,0
1,29,1,2
1,30,0,2
1,31,0,1
2,0,-1,-2
2,1,-3,0
2,2,0,-1
2,3,-3,-1
2,4,-1,-1
2,5,-2,-1
2,6,0,-2
2,7,-3,2
2,8,0,-2
2,9,0,-2
2,10,-1,-1
2,11,1,-2
2,12,-1,-2
2,13,1,-1
2,14,0,-1
2,15,-2,-2
2,16,1,0
2,17,3,2
2,18,0,-1
2,19,3,3
2,20,1,-1
2,21,2,3
2,22,0,0
2,23,3,0
2,24,0,0
2,25,0,4
2,26,1,-1
2,27,-1,4
2,28,1,0
2,29,-1,3
2,30,0,-1
2,31,2,4
3,0,0,-2
3,1,-1,1
3,2,-2,-1
3,3,-1,0
3,4,0,0
3,5,-2,-2
3,6,-1,0
3,7,-4,0
3,8,1,0
3,9,-2,-1
3,10,0,-2
3,11,-1,-1
3,12,0,0
3,13,1,-2
3,14,-1,-1
3,15,-1,-4
3,16,0,2
3,17,1,-1
3,18,2,1
3,19,1,0
3,20,0,0
3,21,2,2
3,22,1,0
3,23,4,0
3,24,-1,0
