cycle,range_bin,doppler_bin,output_hex
1038395000,0,0,ffbc003a
1038405000,0,1,00840005
1038415000,0,2,ff29ffad
1038425000,0,3,00d00059
1038435000,0,4,fe7d016f
1038445000,0,5,02a8fc3d
1038455000,0,6,ff7103e1
1038465000,0,7,fe2efd50
1038475000,0,8,ff9401fa
1038485000,0,9,0366ff1e
1038495000,0,10,fac1fd9e
1038505000,0,11,05d606c2
1038515000,0,12,fcd7faae
1038525000,0,13,00a20014
1038535000,0,14,0010ffb3
1038545000,0,15,003f020e
1038555000,0,16,ffacfda4
1038565000,0,17,ff1e02fd
1038575000,0,18,01abfddd
1038585000,0,19,fee401df
1038595000,0,20,0065ffa5
1038605000,0,21,ff8efd57
1038615000,0,22,00910087
1038625000,0,23,ff74ff24
1038635000,0,24,fff004e0
1038645000,0,25,0054fd38
1038655000,0,26,003bfffc
1038665000,0,27,ff62003e
1038675000,0,28,0023ffd6
1038685000,0,29,0084ff90
1038695000,0,30,fff600c1
1038705000,0,31,ffdbff66
1042985000,1,0,ffc80043
1042995000,1,1,fff7ffd4
1043005000,1,2,fffeffad
1043015000,1,3,00870047
1043025000,1,4,ff580088
1043035000,1,5,0060fe86
1043045000,1,6,ff0b00a0
1043055000,1,7,00d7011a
1043065000,1,8,fdddffc5
1043075000,1,9,02f200d5
1043085000,1,10,ff46fc45
1043095000,1,11,014a0506
1043105000,1,12,fd06fcaa
1043115000,1,13,002aff01
1043125000,1,14,0391035e
1043135000,1,15,fea3fbf3
1043145000,1,16,fcdc01f9
1043155000,1,17,0305018c
1043165000,1,18,fdf8fe8f
1043175000,1,19,011f0155
1043185000,1,20,fcf4fe72
1043195000,1,21,04fc00c2
1043205000,1,22,fcfd00ea
1043215000,1,23,0191fb84
1043225000,1,24,00630833
1043235000,1,25,fec6f9db
1043245000,1,26,00bc01d7
1043255000,1,27,fefcff8a
1043265000,1,28,00d20070
1043275000,1,29,0066ff97
1043285000,1,30,ff870048
1043295000,1,31,0049ff83
1047575000,2,0,ffcf002b
1047585000,2,1,0003002f
1047595000,2,2,000dff5a
1047605000,2,3,001a0091
1047615000,2,4,fe9300fe
1047625000,2,5,039bfebf
1047635000,2,6,fd0bffae
1047645000,2,7,02c30020
1047655000,2,8,fc5201a4
1047665000,2,9,0316ff87
1047675000,2,10,ff35fcfd
1047685000,2,11,fe6d0225
1047695000,2,12,00ca0079
1047705000,2,13,ff2afccc
1047715000,2,14,0295019e
1047725000,2,15,ff9202e1
1047735000,2,16,fd0dff45
1047745000,2,17,03e9fd9d
1047755000,2,18,fa730340
1047765000,2,19,0524fc5b
1047775000,2,20,fe25005a
1047785000,2,21,fefb00c1
1047795000,2,22,01dd0126
1047805000,2,23,fe71feb6
1047815000,2,24,00b202cc
1047825000,2,25,0092fca1
1047835000,2,26,fecb024d
1047845000,2,27,01f1fe07
1047855000,2,28,fd6601cf
1047865000,2,29,019cfea8
1047875000,2,30,ffbb012a
1047885000,2,31,002eff49
1052165000,3,0,ffe3003d
1052175000,3,1,ffd4fff8
1052185000,3,2,000affbf
1052195000,3,3,00e0000c
1052205000,3,4,fd480132
1052215000,3,5,0433fe7f
1052225000,3,6,fd64ffcc
1052235000,3,7,00fd015c
1052245000,3,8,ff11ffc9
1052255000,3,9,012bff05
1052265000,3,10,fdd60084
1052275000,3,11,02250089
1052285000,3,12,ff64fedc
1052295000,3,13,fe98fe2a
1052305000,3,14,00c60216
1052315000,3,15,00980204
1052325000,3,16,026ffefd
1052335000,3,17,fc08ff4c
1052345000,3,18,013c0067
1052355000,3,19,0112ffe4
1052365000,3,20,fd4cfeae
1052375000,3,21,02fdfe15
1052385000,3,22,fc4e043e
1052395000,3,23,03a3fcaa
1052405000,3,24,fe3505a1
1052415000,3,25,0039fbb3
1052425000,3,26,00fc0186
1052435000,3,27,fe7dff0f
1052445000,3,28,01680050
1052455000,3,29,ffc8ff96
1052465000,3,30,ff9800c0
1052475000,3,31,0044ff5e
1056755000,4,0,ffae003f
1056765000,4,1,0028ffde
1056775000,4,2,ff7fff3e
1056785000,4,3,00a60183
1056795000,4,4,ff91ffd4
1056805000,4,5,00f5fd71
1056815000,4,6,ff60023d
1056825000,4,7,ff870080
1056835000,4,8,00c8fe4c
1056845000,4,9,ff670167
1056855000,4,10,feb9fe23
1056865000,4,11,026e03f3
1056875000,4,12,fe39fb1a
1056885000,4,13,fedd018a
1056895000,4,14,020200e4
1056905000,4,15,015d0034
1056915000,4,16,fe6eff53
1056925000,4,17,00e80316
1056935000,4,18,fe71fb14
1056945000,4,19,009402eb
1056955000,4,20,feb9fe74
1056965000,4,21,0121ff4d
1056975000,4,22,ff420299
1056985000,4,23,00ebfc1c
1056995000,4,24,ffd40856
1057005000,4,25,005df875
1057015000,4,26,006302fb
1057025000,4,27,ff50ff33
1057035000,4,28,fffdff5a
1057045000,4,29,00a90130
1057055000,4,30,ff58ffa6
1057065000,4,31,0089ff94
1061345000,5,0,ff83ffe1
1061355000,5,1,006a002f
1061365000,5,2,ff42000f
1061375000,5,3,011dff69
1061385000,5,4,ff780101
1061395000,5,5,00bdfe8c
1061405000,5,6,fddd006b
1061415000,5,7,02bf005a
1061425000,5,8,fcd600ac
1061435000,5,9,0208ffe9
1061445000,5,10,fec0ffe1
1061455000,5,11,04150097
1061465000,5,12,fae8fdc2
1061475000,5,13,0214009f
1061485000,5,14,0294ff48
1061495000,5,15,fb0a00b1
1061505000,5,16,053500e9
1061515000,5,17,fca60091
1061525000,5,18,fdacfe8b
1061535000,5,19,0325fed5
1061545000,5,20,fe8402f3
1061555000,5,21,0165fd62
1061565000,5,22,ff0f00af
1061575000,5,23,feb3014c
1061585000,5,24,03fa0132
1061595000,5,25,fd24fdeb
1061605000,5,26,00520045
1061615000,5,27,00a9005b
1061625000,5,28,ff94002a
1061635000,5,29,008effb7
1061645000,5,30,ff40ffd6
1061655000,5,31,00c40021
1065935000,6,0,002d005f
1065945000,6,1,ffdeff46
1065955000,6,2,001700f8
1065965000,6,3,ff84ff23
1065975000,6,4,008700fa
1065985000,6,5,0137fef5
1065995000,6,6,ff9101d0
1066005000,6,7,fd61fcc0
1066015000,6,8,02fd02cb
1066025000,6,9,ffe3fdd3
1066035000,6,10,fe2c00d4
1066045000,6,11,fe520083
1066055000,6,12,0396ffc3
1066065000,6,13,fea7020c
1066075000,6,14,003ffc01
1066085000,6,15,00ce0227
1066095000,6,16,ffe5ff7f
1066105000,6,17,01c0ff0a
1066115000,6,18,fafd036a
1066125000,6,19,00f2fc3b
1066135000,6,20,01f101da
1066145000,6,21,fd6dff15
1066155000,6,22,033bfe92
1066165000,6,23,fec90454
1066175000,6,24,006dfcab
1066185000,6,25,fe3702fd
1066195000,6,26,0288fe0e
1066205000,6,27,fde00047
1066215000,6,28,010600dd
1066225000,6,29,001dfe3a
1066235000,6,30,003d0141
1066245000,6,31,ffa0ff7d
1070525000,7,0,ffb5007e
1070535000,7,1,0054ff99
1070545000,7,2,ff01002d
1070555000,7,3,018f0045
1070565000,7,4,fea3ffe9
1070575000,7,5,015dfe20
1070585000,7,6,ffff01b8
1070595000,7,7,0002fff4
1070605000,7,8,fec900c2
1070615000,7,9,00350070
1070625000,7,10,ff5efcde
1070635000,7,11,048c00df
1070645000,7,12,f9030042
1070655000,7,13,04b3ff61
1070665000,7,14,fe6b0239
1070675000,7,15,00dffd33
1070685000,7,16,fe4302a0
1070695000,7,17,0208fdc1
1070705000,7,18,fe710223
1070715000,7,19,fe19ffcd
1070725000,7,20,03fffdb7
1070735000,7,21,fd490274
1070745000,7,22,017ffee8
1070755000,7,23,ff3effa4
1070765000,7,24,011f0058
1070775000,7,25,fd0700e6
1070785000,7,26,02b0fffe
1070795000,7,27,ff20fed7
1070805000,7,28,ffe301ce
1070815000,7,29,00c7fee3
1070825000,7,30,ff7f00d3
1070835000,7,31,0085ff25
1075115000,8,0,fff1002f
1075125000,8,1,ffd1ffe1
1075135000,8,2,fffcffc6
1075145000,8,3,000500a1
1075155000,8,4,ffc0006c
1075165000,8,5,0205fd3c
1075175000,8,6,fe0803a0
1075185000,8,7,006dfe1b
1075195000,8,8,fff2fe1b
1075205000,8,9,ff9202cd
1075215000,8,10,fe5bfda9
1075225000,8,11,040f05f2
1075235000,8,12,fd8ef9ce
1075245000,8,13,fee70245
1075255000,8,14,01d6ffcb
1075265000,8,15,005bfcab
1075275000,8,16,ff0d0429
1075285000,8,17,02ebff7b
1075295000,8,18,fa7eff36
1075305000,8,19,03410019
1075315000,8,20,fe8801e2
1075325000,8,21,ffc9fd36
1075335000,8,22,01b600ec
1075345000,8,23,feddfd3d
1075355000,8,24,01c40695
1075365000,8,25,fd5afc87
1075375000,8,26,01b3ff6f
1075385000,8,27,009b00f4
1075395000,8,28,fee6ff94
1075405000,8,29,00630029
1075415000,8,30,0004000d
1075425000,8,31,001bff9d
1079705000,9,0,ffda004a
1079715000,9,1,ffeaffd8
1079725000,9,2,0051ffe1
1079735000,9,3,ff740018
1079745000,9,4,feea0062
1079755000,9,5,030aff25
1079765000,9,6,fe5e0211
1079775000,9,7,00fbfde8
1079785000,9,8,fd540164
1079795000,9,9,04dafe11
1079805000,9,10,fb12ff8c
1079815000,9,11,ff690358
1079825000,9,12,049bfcfc
1079835000,9,13,fc0401b7
1079845000,9,14,017cfd7b
1079855000,9,15,015b03cb
1079865000,9,16,fdf6ff44
1079875000,9,17,03fcfe52
1079885000,9,18,f9c50141
1079895000,9,19,02dcfe9c
1079905000,9,20,010a0170
1079915000,9,21,fe22fe57
1079925000,9,22,01fa013d
1079935000,9,23,ff4bfe98
1079945000,9,24,ff0802ce
1079955000,9,25,0100fec1
1079965000,9,26,ff000022
1079975000,9,27,017bff04
1079985000,9,28,ff3500da
1079995000,9,29,0078ffc9
1080005000,9,30,ffb4003f
1080015000,9,31,0023ff6d
1084295000,10,0,ffd6003c
1084305000,10,1,0039ff94
1084315000,10,2,ffa90079
1084325000,10,3,ffabffd4
1084335000,10,4,ff9c0087
1084345000,10,5,0376ff9e
1084355000,10,6,fce7004a
1084365000,10,7,0186fec8
1084375000,10,8,fec4025a
1084385000,10,9,017afdeb
1084395000,10,10,fddcfef2
1084405000,10,11,000004ab
1084415000,10,12,03c7fa98
1084425000,10,13,fabb012e
1084435000,10,14,053a001f
1084445000,10,15,fe4901bd
1084455000,10,16,fd50fec8
1084465000,10,17,0301ff76
1084475000,10,18,fa3f0297
1084485000,10,19,04e7fc80
1084495000,10,20,00240391
1084505000,10,21,ffa6fd5c
1084515000,10,22,ffd10294
1084525000,10,23,0012fca4
1084535000,10,24,ff3e02ea
1084545000,10,25,00e8feb3
1084555000,10,26,ff68ffe6
1084565000,10,27,00c2ff81
1084575000,10,28,ff4901b0
1084585000,10,29,ffedfef8
1084595000,10,30,004a0043
1084605000,10,31,000bffbf
1088885000,11,0,ff7a0058
1088895000,11,1,0094ffba
1088905000,11,2,ff57007d
1088915000,11,3,0023ff19
1088925000,11,4,ff31023f
1088935000,11,5,0362fd12
1088945000,11,6,fd770120
1088955000,11,7,ffbf004a
1088965000,11,8,00b6ffbc
1088975000,11,9,ffee01c5
1088985000,11,10,fe7afc1d
1088995000,11,11,00fc04e2
1089005000,11,12,014efa52
1089015000,11,13,ff04035f
1089025000,11,14,008fff3e
1089035000,11,15,ffa1ff09
1089045000,11,16,ff7802fc
1089055000,11,17,fd78ffa6
1089065000,11,18,02b9fd63
1089075000,11,19,028d0163
1089085000,11,20,fcf101ad
1089095000,11,21,00fcfc8c
1089105000,11,22,fec502be
1089115000,11,23,00f1fcca
1089125000,11,24,fef00380
1089135000,11,25,024afeaf
1089145000,11,26,fda2001b
1089155000,11,27,0160005e
1089165000,11,28,ffe8ffba
1089175000,11,29,ff6affe7
1089185000,11,30,00590064
1089195000,11,31,0053ff4f
1093475000,12,0,ffbe0016
1093485000,12,1,0008fffb
1093495000,12,2,ffc70011
1093505000,12,3,009bffa7
1093515000,12,4,ff710232
1093525000,12,5,0152fc2f
1093535000,12,6,ff2a01f3
1093545000,12,7,0082005c
1093555000,12,8,fe35ffba
1093565000,12,9,00eb013a
1093575000,12,10,fe55fb10
1093585000,12,11,04450846
1093595000,12,12,fc08f7b0
1093605000,12,13,03870161
1093615000,12,14,fd4e05c9
1093625000,12,15,017efadf
1093635000,12,16,ff7e02a8
1093645000,12,17,ff1aff29
1093655000,12,18,ff1bfed7
1093665000,12,19,016dffc9
1093675000,12,20,02570162
1093685000,12,21,fc7afe19
1093695000,12,22,00a80341
1093705000,12,23,ff68fd04
1093715000,12,24,0257026c
1093725000,12,25,fef7fece
1093735000,12,26,ff810034
1093745000,12,27,ffa7ffa6
1093755000,12,28,00f000c0
1093765000,12,29,ffa9ff83
1093775000,12,30,fff0002f
1093785000,12,31,0054ffcd
1098065000,13,0,ffe70050
1098075000,13,1,0035ff8a
1098085000,13,2,ff0a00cb
1098095000,13,3,0104fed0
1098105000,13,4,00e20282
1098115000,13,5,feabfb6a
1098125000,13,6,012a02e2
1098135000,13,7,fdeefee2
1098145000,13,8,0311025c
1098155000,13,9,fd60fd44
1098165000,13,10,0064002c
1098175000,13,11,ff5f045e
1098185000,13,12,0094fae5
1098195000,13,13,01d900d0
1098205000,13,14,fe60024e
1098215000,13,15,000ffb73
1098225000,13,16,01750308
1098235000,13,17,ffa100ea
1098245000,13,18,fd40fe49
1098255000,13,19,015a012c
1098265000,13,20,ff48fe3a
1098275000,13,21,ff7700e2
1098285000,13,22,030e00e2
1098295000,13,23,fc42fffe
1098305000,13,24,02630118
1098315000,13,25,ff1efdb4
1098325000,13,26,021201b4
1098335000,13,27,fde3ff8e
1098345000,13,28,00c2fff3
